Code,Hospital.name,long_code,Country,type
AUK,Bishop Auckland General Hospital,auk. bishop auckland general hospital,England,Non-intervention
BAL,Barts and the London Hospital,bal. barts and the london hospital,England,Non-intervention
BDL,Bridlington and District Hospital,bdl. bridlington and district hospital,England,Non-intervention
BHH,Rochdale Infirmary,bhh. rochdale infirmary,England,Non-intervention
BUR,Burnley General Hospital,bur. burnley general hospital,England,Non-intervention
FRH,Friarage Hospital,frh. friarage hospital,England,Non-intervention
HWH,Heatherwood Hospital,hwh. heatherwood hospital,England,Non-intervention
LER,Leicester Royal Infirmary,ler. leicester royal infirmary,England,Non-intervention
LLA,Llandudno General Hospital,lla. llandudno general hospital,Wales,Non-intervention
LOU,County Hospital Louth,lou. county hospital louth,England,Non-intervention
MON,Montagu Hospital,mon. montagu hospital,England,Non-intervention
NGH,Neath Port Talbot Hospital,ngh. neath port talbot hospital,Wales,Non-intervention
PON,Ponterfract General Infirmary,pon. ponterfract general infirmary,England,Non-intervention
RHA,Royal Hallamshire Hospital,rha. royal hallamshire hospital,England,Non-intervention
SKH,Skegness District Hospital,skh. skegness district hospital,England,Non-intervention
SOH,Selly Oak Hospital,soh. selly oak hospital,England,Non-intervention
WCH,West Cornwall Hospital,wch. west cornwall hospital,England,Non-intervention
WGE,"Western General Hospital, Scotland","wge. western general hospital, scotland",Scotland,Non-intervention
ADD,Addenbrooke's Hospital,add. addenbrooke's hospital,England,Non-intervention
AEI,Royal Albert Edward Infirmary,aei. royal albert edward infirmary,England,Intervention
AIR,Airedale General Hospital,air. airedale general hospital,England,Non-intervention
ALT,Altnagelvin Area Hospital,alt. altnagelvin area hospital,Northern Ireland,Intervention
AMG,Wycombe Hospital,amg. wycombe hospital,England,Intervention
ASH,Wansbeck General Hospital,ash. wansbeck general hospital,England,Non-intervention
ATM,Antrim Area Hospital,atm. antrim area hospital,Northern Ireland,Non-intervention
BAR,Barnsley Hospital,bar. barnsley hospital,England,Non-intervention
BAS,Basildon Hospital,bas. basildon hospital,England,Intervention
BAT,Royal United Hospital Bath,bat. royal united hospital bath,England,Intervention
BED,Bedford Hospital,bed. bedford hospital,England,Intervention
BFH,Broomfield Hospital,bfh. broomfield hospital,England,Non-intervention
BFT,Belfast City Hospital,bft. belfast city hospital,Northern Ireland,Intervention
BHL,Liverpool Heart and Chest Hospital ,bhl. liverpool heart and chest hospital ,England,Intervention
BHR,Royal Berkshire Hospital,bhr. royal berkshire hospital,England,Intervention
BLA,Royal Blackburn Hospital,bla. royal blackburn hospital,England,Intervention
BNT,Barnet General Hospital,bnt. barnet general hospital,England,Non-intervention
BOL,Royal Bolton Hospital,bol. royal bolton hospital,England,Non-intervention
BOU,Royal Bournemouth General Hospital,bou. royal bournemouth general hospital,England,Intervention
