"","age_band","country","Symptoms","Count","Percent"
"1","0-9","All countries","chills",1,3.84615384615385
"2","0-9","All countries","cough",2,7.69230769230769
"3","0-9","All countries","diarrhoea",4,15.3846153846154
"4","0-9","All countries","fatigue",3,11.5384615384615
"5","0-9","All countries","headache",2,7.69230769230769
"6","0-9","All countries","itchy_eyes",2,7.69230769230769
"7","0-9","All countries","loss_appetite",1,3.84615384615385
"8","0-9","All countries","muscle_ache",1,3.84615384615385
"9","0-9","All countries","nasal_congestion",1,3.84615384615385
"10","0-9","All countries","nausea_vomiting",1,3.84615384615385
"11","0-9","All countries","sore_throat",3,11.5384615384615
"12","0-9","All countries","sputum",1,3.84615384615385
"13","0-9","All countries","temperature",4,15.3846153846154
"14","10-19","All countries","chest_pain",1,0.613496932515337
"15","10-19","All countries","chills",9,5.52147239263804
"16","10-19","All countries","cough",18,11.0429447852761
"17","10-19","All countries","diarrhoea",14,8.58895705521472
"18","10-19","All countries","fatigue",21,12.8834355828221
"19","10-19","All countries","headache",21,12.8834355828221
"20","10-19","All countries","itchy_eyes",2,1.22699386503067
"21","10-19","All countries","joint_pain",1,0.613496932515337
"22","10-19","All countries","loss_appetite",4,2.45398773006135
"23","10-19","All countries","muscle_ache",10,6.13496932515337
"24","10-19","All countries","nasal_congestion",15,9.20245398773006
"25","10-19","All countries","nausea_vomiting",4,2.45398773006135
"26","10-19","All countries","shortness_breath",9,5.52147239263804
"27","10-19","All countries","sore_throat",15,9.20245398773006
"28","10-19","All countries","sputum",9,5.52147239263804
"29","10-19","All countries","temperature",10,6.13496932515337
"30","20-29","All countries","chest_pain",24,1.07190710138455
"31","20-29","All countries","chills",107,4.77891916033944
"32","20-29","All countries","cough",235,10.4957570343904
"33","20-29","All countries","diarrhoea",172,7.68200089325592
"34","20-29","All countries","fatigue",272,12.1482804823582
"35","20-29","All countries","headache",292,13.0415364001787
"36","20-29","All countries","itchy_eyes",110,4.91290754801251
"37","20-29","All countries","joint_pain",12,0.535953550692273
"38","20-29","All countries","loss_appetite",55,2.45645377400625
"39","20-29","All countries","muscle_ache",202,9.0218847699866
"40","20-29","All countries","nasal_congestion",245,10.9423849933006
"41","20-29","All countries","nausea_vomiting",41,1.83117463153193
"42","20-29","All countries","shortness_breath",120,5.35953550692273
