"Symptom","Country","Location","lat","lon","n"
"Chills","India","New Delhi",28.6139391,77.2090212,1
"Chills","United Kingdom","Blackburn",36.3731162,-96.5961392,1
"Chills","United Kingdom","Redcar",54.5974636,-1.0779515,1
"Chills","United Kingdom","stoneyburn",55.8439435,-3.6407746,1
"Chills","United Kingdom","Swansea",51.62144,-3.943646,1
"Chills","United Kingdom","Wisbech",52.666317,0.158797,1
"Cough","India","aberdeen",57.149717,-2.094278,1
"Cough","India","Agra",27.1766701,78.0080745,1
"Cough","India","Assam",26.2006043,92.9375739,1
"Cough","India","Delhi",28.7040592,77.1024902,1
"Cough","India","Ghaziabad",28.6691565,77.4537578,1
"Cough","India","Goa",15.2993265,74.123996,1
"Cough","India","Gurgaon",28.4594965,77.0266383,1
"Cough","India","Howrah",22.5957689,88.2636394,1
"Cough","India","leeds",53.8007554,-1.5490774,1
"Cough","India","Lucknow",26.8466937,80.946166,1
"Cough","India","mumbai",19.0759837,72.8776559,1
"Cough","India","Mumbai",19.0759837,72.8776559,1
"Cough","India","Nairobi",-1.2920659,36.8219462,1
"Cough","India","Naja",NA,NA,1
"Cough","India","Navi mumbai",19.0330488,73.0296625,1
"Cough","India","Surat",21.1702401,72.8310607,1
"Cough","India","Virar",19.4563596,72.7924612,1
"Cough","Pakistan","Islamabad",33.6844202,73.0478848,1
"Cough","Pakistan","Kahror pacca",29.6437628,71.9164217,1
"Cough","Pakistan","Karachi",24.8607343,67.0011364,1
"Cough","Pakistan","Lahore",31.5203696,74.3587473,1
"Cough","Pakistan","Rawalpindi",33.5651107,73.0169135,2
"Cough","United Kingdom","Basildon",51.576084,0.488736,1
"Cough","United Kingdom","Berwick-upon-Tweed",55.770242,-2.005395,1
"Cough","United Kingdom","Birmingham",33.5185892,-86.8103567,1
"Cough","United Kingdom","Buckinghamshire",51.8072204,-0.8127664,1
"Cough","United Kingdom","Exeter",32.8996787,-96.9821243,1
"Cough","United Kingdom","Liverpool",32.6564981,-115.4763241,2
"Cough","United Kingdom","Norwich",41.5242649,-72.0759105,1
"Cough","United Kingdom","Redcar",54.5974636,-1.0779515,1
"Cough","United Kingdom","Stafford",29.6160671,-95.5577221,1
"Cough","United Kingdom","Stone",36.2067298,-95.844963,1
"Cough","United Kingdom","stoneyburn",55.8439435,-3.6407746,1
"Cough","United Kingdom","Wisbech",52.666317,0.158797,1
"Diarrhoea","India","Agra",27.1766701,78.0080745,1
"Diarrhoea","Pakistan","Sialkot",32.4944991,74.5228916,1
"Diarrhoea","United Kingdom","Liverpool",32.6564981,-115.4763241,1
"Diarrhoea","United Kingdom","Plymouth",41.9584457,-70.6672621,1
"Diarrhoea","United Kingdom","stoneyburn",55.8439435,-3.6407746,1
"Diarrhoea","United Kingdom","Wisbech",52.666317,0.158797,1
"Fatigue","India","A",37.09024,-95.712891,1
"Fatigue","India","Betul",21.9011601,77.8960201,1
"Fatigue","India","Goa",15.2993265,74.123996,1
"Fatigue","India","Gwalior",26.2182871,78.1828308,1
"Fatigue","India","Jaipur",26.9124336,75.7872709,1
"Fatigue","India","Kumasi",6.6666004,-1.6162709,1
"Fatigue","India","Mumbai",19.0759837,72.8776559,1
"Fatigue","India","Nairobi",-1.2920659,36.8219462,1
"Fatigue","India","Virar",19.4563596,72.7924612,1
"Fatigue","Pakistan","Kahror pacca",29.6437628,71.9164217,1
"Fatigue","Pakistan","Lahore",31.5203696,74.3587473,1
"Fatigue","Pakistan","Psh",NA,NA,1
"Fatigue","Pakistan","Sialkot",32.4944991,74.5228916,1
"Fatigue","United Kingdom","Basildon",51.576084,0.488736,1
"Fatigue","United Kingdom","Berwick-upon-Tweed",55.770242,-2.005395,1
"Fatigue","United Kingdom","Blackburn",36.3731162,-96.5961392,1
"Fatigue","United Kingdom","Buckinghamshire",51.8072204,-0.8127664,1
"Fatigue","United Kingdom","Liverpool",32.6564981,-115.4763241,1
"Fatigue","United Kingdom","Norwich",41.5242649,-72.0759105,1
"Fatigue","United Kingdom","Plymouth",41.9584457,-70.6672621,1
"Fatigue","United Kingdom","Redcar",54.5974636,-1.0779515,1
"Fatigue","United Kingdom","stoneyburn",55.8439435,-3.6407746,1
"Fatigue","United Kingdom","Swansea",51.62144,-3.943646,1
"Fatigue","United Kingdom","Wisbech",52.666317,0.158797,1
"Headache","India","Agra",27.1766701,78.0080745,1
"Headache","India","Bangalore",12.9715987,77.5945627,1
"Headache","India","Betul",21.9011601,77.8960201,1
"Headache","India","D",37.09024,-95.712891,1
"Headache","India","Kumasi",6.6666004,-1.6162709,1
"Headache","India","Mumbai",19.0759837,72.8776559,1
"Headache","India","New Delhi",28.6139391,77.2090212,1
"Headache","India","Prathupadu",16.8006839,81.5569003,1
"Headache","India","Virar",19.4563596,72.7924612,1
"Headache","Pakistan","Psh",NA,NA,1
"Headache","United Kingdom","Basildon",51.576084,0.488736,1
"Headache","United Kingdom","Birmingham",33.5185892,-86.8103567,1
"Headache","United Kingdom","Blackburn",36.3731162,-96.5961392,1
"Headache","United Kingdom","Buckinghamshire",51.8072204,-0.8127664,1
"Headache","United Kingdom","High Wycoy",51.628611,-0.748229,1
"Headache","United Kingdom","Liverpool",32.6564981,-115.4763241,1
"Headache","United Kingdom","Norwich",41.5242649,-72.0759105,1
"Headache","United Kingdom","Pirth",NA,NA,1
"Headache","United Kingdom","Plymouth",41.9584457,-70.6672621,1
"Headache","United Kingdom","Redcar",54.5974636,-1.0779515,1
"Headache","United Kingdom","Stafford",29.6160671,-95.5577221,1
"Headache","United Kingdom","stoneyburn",55.8439435,-3.6407746,1
"Headache","United Kingdom","Swansea",51.62144,-3.943646,1
"Headache","United Kingdom","Wisbech",52.666317,0.158797,1
"Loss of smell and taste","India","Dh",NA,NA,1
"Loss of smell and taste","India","Mumbai",19.0759837,72.8776559,1
"Loss of smell and taste","United Kingdom","Basildon",51.576084,0.488736,1
"Loss of smell and taste","United Kingdom","Buckinghamshire",51.8072204,-0.8127664,1
"Loss of smell and taste","United Kingdom","Liverpool",32.6564981,-115.4763241,1
"Loss of smell and taste","United Kingdom","Redcar",54.5974636,-1.0779515,1
"Loss of smell and taste","United Kingdom","Swansea",51.62144,-3.943646,1
"Muscle ache","India","A",37.09024,-95.712891,1
"Muscle ache","India","Agra",27.1766701,78.0080745,1
"Muscle ache","India","Bangalore",12.9715987,77.5945627,1
"Muscle ache","India","Betul",21.9011601,77.8960201,1
"Muscle ache","India","Delhi",28.7040592,77.1024902,1
"Muscle ache","India","Goa",15.2993265,74.123996,1
"Muscle ache","India","Gwalior",26.2182871,78.1828308,1
"Muscle ache","India","Jaipur",26.9124336,75.7872709,1
"Muscle ache","India","Mumbai",19.0759837,72.8776559,1
"Muscle ache","India","Prathupadu",16.8006839,81.5569003,1
"Muscle ache","India","Virar",19.4563596,72.7924612,1
"Muscle ache","Pakistan","Kahror pacca",29.6437628,71.9164217,1
"Muscle ache","Pakistan","Psh",NA,NA,1
"Muscle ache","Pakistan","Sialkot",32.4944991,74.5228916,1
"Muscle ache","United Kingdom","Birmingham",33.5185892,-86.8103567,2
"Muscle ache","United Kingdom","Blackburn",36.3731162,-96.5961392,1
"Muscle ache","United Kingdom","Buckinghamshire",51.8072204,-0.8127664,1
"Muscle ache","United Kingdom","Liverpool",32.6564981,-115.4763241,1
"Muscle ache","United Kingdom","Plymouth",41.9584457,-70.6672621,1
"Muscle ache","United Kingdom","Redcar",54.5974636,-1.0779515,1
"Muscle ache","United Kingdom","Stafford",29.6160671,-95.5577221,1
"Muscle ache","United Kingdom","stoneyburn",55.8439435,-3.6407746,1
"Muscle ache","United Kingdom","Swansea",51.62144,-3.943646,1
"Muscle ache","United Kingdom","Wisbech",52.666317,0.158797,1
"Nasal congestion","Bangladesh","Mymensingh",24.7471492,90.4202734,1
"Nasal congestion","India","aberdeen",57.149717,-2.094278,1
"Nasal congestion","India","Agra",27.1766701,78.0080745,1
"Nasal congestion","India","Assam",26.2006043,92.9375739,1
"Nasal congestion","India","D",37.09024,-95.712891,1
"Nasal congestion","India","Delhi",28.7040592,77.1024902,2
"Nasal congestion","India","Dh",NA,NA,1
"Nasal congestion","India","Mumbai",19.0759837,72.8776559,1
"Nasal congestion","India","pune",18.5204303,73.8567437,1
"Nasal congestion","India","Virar",19.4563596,72.7924612,1
"Nasal congestion","Pakistan","Karachi",24.8607343,67.0011364,1
"Nasal congestion","Pakistan","Psh",NA,NA,1
"Nasal congestion","Pakistan","Sialkot",32.4944991,74.5228916,1
"Nasal congestion","United Kingdom","Basildon",51.576084,0.488736,1
"Nasal congestion","United Kingdom","Buckinghamshire",51.8072204,-0.8127664,1
"Nasal congestion","United Kingdom","Gosport",39.3508793,-86.6669472,1
"Nasal congestion","United Kingdom","Norwich",41.5242649,-72.0759105,1
"Nasal congestion","United Kingdom","Redcar",54.5974636,-1.0779515,1
"Nasal congestion","United Kingdom","Stafford",29.6160671,-95.5577221,1
"Nasal congestion","United Kingdom","Wisbech",52.666317,0.158797,1
"Nausea and vomiting","India","Goa",15.2993265,74.123996,1
"Nausea and vomiting","Pakistan","Sialkot",32.4944991,74.5228916,1
"Nausea and vomiting","United Kingdom","Buckinghamshire",51.8072204,-0.8127664,1
"Shortness of breath","India","Betul",21.9011601,77.8960201,1
"Shortness of breath","India","Delhi",28.7040592,77.1024902,2
"Shortness of breath","India","Dh",NA,NA,1
"Shortness of breath","India","Mumbai",19.0759837,72.8776559,1
